conceptid,Value,Valuetype,Provider
RELATIONSHIP_TYPE:1,1,sortorder,CVAST
RELATIONSHIP_TYPE:2,2,sortorder,CVAST
RELATIONSHIP_TYPE:3,3,sortorder,CVAST
RELATIONSHIP_TYPE:4,4,sortorder,CVAST
RELATIONSHIP_TYPE:5,5,sortorder,CVAST
RELATIONSHIP_TYPE:6,6,sortorder,CVAST
RELATIONSHIP_TYPE:7,7,sortorder,CVAST
RELATIONSHIP_TYPE:8,8,sortorder,CVAST
RELATIONSHIP_TYPE:9,9,sortorder,CVAST
RELATIONSHIP_TYPE:10,10,sortorder,CVAST
RELATIONSHIP_TYPE:11,11,sortorder,CVAST
RELATIONSHIP_TYPE:12,12,sortorder,CVAST
RELATIONSHIP_TYPE:13,13,sortorder,CVAST
RELATIONSHIP_TYPE:14,14,sortorder,CVAST
RELATIONSHIP_TYPE:15,15,sortorder,CVAST
RELATIONSHIP_TYPE:16,16,sortorder,CVAST
RELATIONSHIP_TYPE:17,17,sortorder,CVAST
RELATIONSHIP_TYPE:18,18,sortorder,CVAST
RELATIONSHIP_TYPE:19,19,sortorder,CVAST
RELATIONSHIP_TYPE:20,20,sortorder,CVAST
RELATIONSHIP_TYPE:21,21,sortorder,CVAST
RELATIONSHIP_TYPE:22,22,sortorder,CVAST
RELATIONSHIP_TYPE:23,23,sortorder,CVAST
RELATIONSHIP_TYPE:24,24,sortorder,CVAST
RELATIONSHIP_TYPE:25,25,sortorder,CVAST
RELATIONSHIP_TYPE:26,26,sortorder,CVAST
RELATIONSHIP_TYPE:27,27,sortorder,CVAST
RELATIONSHIP_TYPE:28,28,sortorder,CVAST
