conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
COMPONENT_TYPE:1,Base / Single component,Main component,COMPONENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,CVAST
COMPONENT_TYPE:2,Chimney,Chimney,COMPONENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
COMPONENT_TYPE:3,Cladding,Cladding,COMPONENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
COMPONENT_TYPE:4,Details,Details,COMPONENT_TYPE_AUTHORITY_DOCUMENT.csv,Collector,SurveyLA
COMPONENT_TYPE:5,Details-Applied decoration,Applied decoration,COMPONENT_TYPE:4,Index,SurveyLA
COMPONENT_TYPE:6,Details-Balconette,Balconette,COMPONENT_TYPE:4,Index,SurveyLA
COMPONENT_TYPE:7,Details-Belt course,Belt course,COMPONENT_TYPE:4,Index,SurveyLA
COMPONENT_TYPE:8,Details-Bris soleil,Bris soleil,COMPONENT_TYPE:4,Index,SurveyLA
COMPONENT_TYPE:9,Details-Buttresses,Buttresses,COMPONENT_TYPE:4,Index,SurveyLA
COMPONENT_TYPE:10,Details-Dingbats,Dingbats,COMPONENT_TYPE:4,Index,SurveyLA
COMPONENT_TYPE:11,Details-Grilles,Grilles,COMPONENT_TYPE:4,Index,SurveyLA
COMPONENT_TYPE:12,Details-Light Fixtures,Light Fixtures,COMPONENT_TYPE:4,Index,SurveyLA
COMPONENT_TYPE:13,Details-Loading Dock,Loading Dock,COMPONENT_TYPE:4,Index,SurveyLA
COMPONENT_TYPE:14,Details-Pierced screens,Pierced screens,COMPONENT_TYPE:4,Index,SurveyLA
COMPONENT_TYPE:15,Details-Pilasters,Pilasters,COMPONENT_TYPE:4,Index,SurveyLA
COMPONENT_TYPE:16,Details-Planters,Planters,COMPONENT_TYPE:4,Index,SurveyLA
COMPONENT_TYPE:17,Details-Quoins,Quoins,COMPONENT_TYPE:4,Index,SurveyLA
COMPONENT_TYPE:18,Details-Sign,Sign,COMPONENT_TYPE:4,Index,SurveyLA
COMPONENT_TYPE:19,Details-String course,String course,COMPONENT_TYPE:4,Index,SurveyLA
COMPONENT_TYPE:20,Details-Tile,Tile,COMPONENT_TYPE:4,Index,SurveyLA
COMPONENT_TYPE:21,Door,Door,COMPONENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
COMPONENT_TYPE:22,Entryway,Entryway,COMPONENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
