conceptid,Value,Valuetype,Provider
COMPONENT_TYPE:1,1,sortorder,CVAST
COMPONENT_TYPE:2,2,sortorder,SurveyLA
COMPONENT_TYPE:3,3,sortorder,SurveyLA
COMPONENT_TYPE:4,4,sortorder,SurveyLA
COMPONENT_TYPE:5,5,sortorder,SurveyLA
COMPONENT_TYPE:6,6,sortorder,SurveyLA
COMPONENT_TYPE:7,7,sortorder,SurveyLA
COMPONENT_TYPE:8,8,sortorder,SurveyLA
COMPONENT_TYPE:9,9,sortorder,SurveyLA
COMPONENT_TYPE:10,10,sortorder,SurveyLA
COMPONENT_TYPE:11,11,sortorder,SurveyLA
COMPONENT_TYPE:12,12,sortorder,SurveyLA
COMPONENT_TYPE:13,13,sortorder,SurveyLA
COMPONENT_TYPE:14,14,sortorder,SurveyLA
COMPONENT_TYPE:15,15,sortorder,SurveyLA
COMPONENT_TYPE:16,16,sortorder,SurveyLA
COMPONENT_TYPE:17,17,sortorder,SurveyLA
COMPONENT_TYPE:18,18,sortorder,SurveyLA
COMPONENT_TYPE:19,19,sortorder,SurveyLA
COMPONENT_TYPE:20,20,sortorder,SurveyLA
COMPONENT_TYPE:21,21,sortorder,SurveyLA
COMPONENT_TYPE:22,22,sortorder,SurveyLA
