conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
HISTRES_TYPE_ID:1,Object,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,CVAST
HISTRES_TYPE_ID:2,Jewelry,,HISTRES_TYPE_ID:1,Index,CVAST
HISTRES_TYPE_ID:3,Lithic,,HISTRES_TYPE_ID:1,Index,CVAST
HISTRES_TYPE_ID:4,Pottery,,HISTRES_TYPE_ID:1,Index,CVAST
HISTRES_TYPE_ID:5,Tool,,HISTRES_TYPE_ID:1,Index,CVAST
HISTRES_TYPE_ID:6,"Visual object (relief, painting, etc.)",,HISTRES_TYPE_ID:1,Index,CVAST
HISTRES_TYPE_ID:7,Human remains,,HISTRES_TYPE_ID:1,Index,CVAST
HISTRES_TYPE_ID:8,Other organic remains,,HISTRES_TYPE_ID:1,Index,CVAST
HISTRES_TYPE_ID:9,Other,,HISTRES_TYPE_ID:1,Index,CVAST
HISTRES_TYPE_ID:10,Weapon,,HISTRES_TYPE_ID:1,Index,CVAST
HISTRES_TYPE_ID:11,Structure,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,CVAST
HISTRES_TYPE_ID:12,Dwelling,,HISTRES_TYPE_ID:11,Index,CVAST
HISTRES_TYPE_ID:13,Fortification/defensive structure,,HISTRES_TYPE_ID:11,Index,CVAST
HISTRES_TYPE_ID:14,Agricultural structure,,HISTRES_TYPE_ID:11,Index,CVAST
HISTRES_TYPE_ID:15,Industrial structure,,HISTRES_TYPE_ID:11,Index,CVAST
HISTRES_TYPE_ID:16,Religious structure,,HISTRES_TYPE_ID:11,Index,CVAST
HISTRES_TYPE_ID:17,Public structure,,HISTRES_TYPE_ID:11,Index,CVAST
HISTRES_TYPE_ID:18,Other,,HISTRES_TYPE_ID:11,Index,CVAST
HISTRES_TYPE_ID:19,Site,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,CVAST
