conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
MATERIAL:1,Vegetal,Vegetal: unknown,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CVAST
MATERIAL:2,Fiber,,MATERIAL:1,Index,CVAST
MATERIAL:3,Paper,,MATERIAL:1,Index,CVAST
MATERIAL:4,Reeds,,MATERIAL:1,Index,CVAST
MATERIAL:5,Wood,,MATERIAL:1,Index,CVAST
MATERIAL:6,Mineral,Mineral: unknown,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CVAST
MATERIAL:7,Andesitic Basalt,,MATERIAL:6,Index,CVAST
MATERIAL:8,Argillite,,MATERIAL:6,Index,CVAST
MATERIAL:9,Asbestos,,MATERIAL:6,Index,CVAST
MATERIAL:10,Basalt,,MATERIAL:6,Index,CVAST
MATERIAL:11,Brown Chert,,MATERIAL:6,Index,CVAST
MATERIAL:12,Chalcedony,,MATERIAL:6,Index,CVAST
MATERIAL:13,Chert,,MATERIAL:6,Index,CVAST
MATERIAL:14,Clay - baked,,MATERIAL:6,Index,CVAST
MATERIAL:15,Clay - unbaked,,MATERIAL:6,Index,CVAST
MATERIAL:16,Clear Chalcedony,,MATERIAL:6,Index,CVAST
MATERIAL:17,Concrete,,MATERIAL:6,Index,CVAST
MATERIAL:18,Glassy Basalt,,MATERIAL:6,Index,CVAST
MATERIAL:19,Granite,,MATERIAL:6,Index,CVAST
MATERIAL:20,Gray Chert,,MATERIAL:6,Index,CVAST
MATERIAL:21,Greenstone,,MATERIAL:6,Index,CVAST
MATERIAL:22,Ignimbrite,,MATERIAL:6,Index,CVAST
MATERIAL:23,Jadeite,,MATERIAL:6,Index,CVAST
MATERIAL:24,Marble,,MATERIAL:6,Index,CVAST
MATERIAL:25,Obsidian,,MATERIAL:6,Index,CVAST
MATERIAL:26,Ochre,,MATERIAL:6,Index,CVAST
MATERIAL:27,Petrified Wood,,MATERIAL:6,Index,CVAST
MATERIAL:28,Pink Chert,,MATERIAL:6,Index,CVAST
MATERIAL:29,Pumice,,MATERIAL:6,Index,CVAST
MATERIAL:30,Quartz crystal,,MATERIAL:6,Index,CVAST
MATERIAL:31,Red Chert,,MATERIAL:6,Index,CVAST
MATERIAL:32,Red/Brown Chert,,MATERIAL:6,Index,CVAST
MATERIAL:33,Rhyolite,,MATERIAL:6,Index,CVAST
MATERIAL:34,Siltstone,,MATERIAL:6,Index,CVAST
MATERIAL:35,Slate,,MATERIAL:6,Index,CVAST
MATERIAL:36,Smoky quartz,,MATERIAL:6,Index,CVAST
MATERIAL:37,Vesicular Basalt,,MATERIAL:6,Index,CVAST
MATERIAL:38,Welded Tuff,,MATERIAL:6,Index,CVAST
MATERIAL:39,Travertine,,MATERIAL:6,Index,CVAST
MATERIAL:40,Animal,Animal: unknown,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CVAST
MATERIAL:41,Antler,,MATERIAL:40,Index,CVAST
MATERIAL:42,Bone,,MATERIAL:40,Index,CVAST
MATERIAL:43,Coral,,MATERIAL:40,Index,CVAST
MATERIAL:44,Feather,,MATERIAL:40,Index,CVAST
MATERIAL:45,Hair,,MATERIAL:40,Index,CVAST
MATERIAL:46,Hide,,MATERIAL:40,Index,CVAST
MATERIAL:47,Horn,,MATERIAL:40,Index,CVAST
MATERIAL:48,Ivory,Teeth,MATERIAL:40,Index,CVAST
MATERIAL:49,Mumified,,MATERIAL:40,Index,CVAST
MATERIAL:50,Quill,,MATERIAL:40,Index,CVAST
MATERIAL:51,Shell,,MATERIAL:40,Index,CVAST
MATERIAL:52,Metal,Metal: unknown,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CVAST
MATERIAL:53,Aluminum,,MATERIAL:52,Index,CVAST
MATERIAL:54,Copper,,MATERIAL:52,Index,CVAST
MATERIAL:55,Gold,,MATERIAL:52,Index,CVAST
MATERIAL:56,Iron,,MATERIAL:52,Index,CVAST
MATERIAL:57,Nickel,,MATERIAL:52,Index,CVAST
MATERIAL:58,Platinum,,MATERIAL:52,Index,CVAST
MATERIAL:59,Silver,,MATERIAL:52,Index,CVAST
MATERIAL:60,Tin,,MATERIAL:52,Index,CVAST
MATERIAL:61,Zinc,,MATERIAL:52,Index,CVAST
MATERIAL:62,Alloy,Alloy: unknown,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CVAST
MATERIAL:63,Bronze,Copper/Tin,MATERIAL:62,Index,CVAST
MATERIAL:64,Brass,Copper/Zinc,MATERIAL:62,Index,CVAST
MATERIAL:65,Steel,Iron/Carbon,MATERIAL:62,Index,CVAST
MATERIAL:66,Chromoly,Chromium,MATERIAL:62,Index,CVAST
MATERIAL:67,Stainless Steel,Steel/Chromium,MATERIAL:62,Index,CVAST
MATERIAL:68,Tool Steel,Carbon/Tungsten/Manganese,MATERIAL:62,Index,CVAST
MATERIAL:69,Titanium,Iron/Aluminum,MATERIAL:62,Index,CVAST
MATERIAL:70,Other,,MATERIAL_AUTHORITY_DOCUMENT.csv,Collector,CVAST
MATERIAL:71,Vinyl,,MATERIAL:70,Index,CVAST
MATERIAL:72,Glass,,MATERIAL:70,Index,CVAST
MATERIAL:73,Unknown,,MATERIAL:70,Index,CVAST
