conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
MATERIAL:1,Vegetal,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CVAST
,Other,Vegetal: other,,,
,Unknown,Vegetal: unknown,,,
MATERIAL:2,Fiber,,MATERIAL:1,Index,CVAST
MATERIAL:3,Paper,,MATERIAL:1,Index,CVAST
MATERIAL:4,Reeds,,MATERIAL:1,Index,CVAST
MATERIAL:5,Wood,,MATERIAL:1,Index,CVAST
MATERIAL:7,Mineral,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CVAST
,Other,Mineral: other,,,
,Unknown,Mineral: unknown,,,
,Stone,"Stone, unidentified",MATERIAL:7,,
,Aluminum,,MATERIAL:7,,
,Andesitic Basalt,,MATERIAL:7,,
,Argillite,,MATERIAL:7,,
,Asbestos,,MATERIAL:7,,
,Basalt,,MATERIAL:7,,
,Brown Chert,,MATERIAL:7,,
,Chalcedony,,MATERIAL:7,,
,Chert,,MATERIAL:7,,
,Clay - baked,,MATERIAL:7,,
,Clay - unbaked,,MATERIAL:7,,
,Clear Chalcedony,,MATERIAL:7,,
,Concrete,,MATERIAL:7,,
,Glassy Basalt,,MATERIAL:7,,
,Granite,,MATERIAL:7,,
,Gray Chert,,MATERIAL:7,,
,Greenstone,,MATERIAL:7,,
,Ignimbrite,,MATERIAL:7,,
,Jadeite,,MATERIAL:7,,
,Marble,,MATERIAL:7,,
,Obsidian,,MATERIAL:7,,
,Ochre,,MATERIAL:7,,
,Petrified Wood,,MATERIAL:7,,
,Pink Chert,,MATERIAL:7,,
,Pumice,,MATERIAL:7,,
,Quartz crystal,,MATERIAL:7,,
,Red Chert,,MATERIAL:7,,
,Red/Brown Chert,,MATERIAL:7,,
,Rhyolite,,MATERIAL:7,,
,Siltstone,,MATERIAL:7,,
,Slate,,MATERIAL:7,,
,Smoky quartz,,MATERIAL:7,,
,Vesicular Basalt,,MATERIAL:7,,
,Welded Tuff,,MATERIAL:7,,
,Travertine,,,,
,,,,,
,,,,,
,,,,,
,Animal,Animal: other,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CVAST
,Antler,,,,
,Bone,,,,
,Coral,,,,
,Feather,,,,
,Hair,,,,
,Hide,,,,
,Horn,,,,
,Ivory,,,,
,Quill,,,,
,Shell,,,,
,,,,,
,Human remains,Human remains: other,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CVAST
,Artifactual,,,,
,Mumified,,,,
,Osteological,,,,
,Other,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CVAST
,Vinyl,,,,
,Glass,,,,
,Metal,,,Index,
,Steel,,,,
,,,,,
,,,,,
,,,,,
,Unknown,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CVAST
