Source,Target,Type,id,label,weight
361,372,Directed,359,P4,1.0
361,395,Directed,361,P42,1.0
361,413,Directed,362,P42,1.0
361,448,Directed,518,P42,1.0
361,450,Directed,363,P42,1.0
362,378,Directed,364,P2,1.0
370,410,Directed,367,-P71,1.0
372,416,Directed,368,P78,1.0
372,417,Directed,369,P78,1.0
373,425,Directed,370,-P71,1.0
374,373,Directed,371,P2,1.0
375,360,Directed,372,-P71,1.0
375,383,Directed,373,P90,1.0
377,369,Directed,376,P4,1.0
377,370,Directed,377,P2,1.0
377,457,Directed,460,P2,1.0
377,458,Directed,461,P2,1.0
377,459,Directed,462,-P67,1.0
377,480,Directed,489,P3,1.0
377,512,Directed,514,-P138,1.0
378,368,Directed,379,-P71,1.0
380,359,Directed,380,-P71,1.0
385,481,Directed,490,P2,1.0
386,429,Directed,388,P2,1.0
388,361,Directed,392,-P41,1.0
390,375,Directed,393,P91,1.0
390,415,Directed,394,-P71,1.0
391,377,Directed,395,P35,1.0
395,363,Directed,396,-P71,1.0
397,365,Directed,398,P3,1.0
398,379,Directed,399,-P71,1.0
399,394,Directed,400,-P71,1.0
402,418,Directed,401,P89,1.0
403,427,Directed,402,-P94,1.0
405,366,Directed,404,P78,1.0
405,396,Directed,405,P78,1.0
406,380,Directed,406,P2,1.0
413,371,Directed,409,-P71,1.0
418,423,Directed,411,P87,1.0
420,374,Directed,412,P1,1.0
420,388,Directed,415,-P108,1.0
420,390,Directed,416,P43,1.0
420,391,Directed,417,-P34,1.0
420,399,Directed,418,P2,1.0
420,403,Directed,419,P104,1.0
420,422,Directed,421,P53,1.0
420,428,Directed,422,BM.PX.is_related_to,1.0
420,442,Directed,456,-P140,1.0
420,452,Directed,424,P3,1.0
420,453,Directed,425,P2,1.0
420,501,Directed,502,-P92,1.0
420,502,Directed,508,-P93,1.0
422,362,Directed,427,P87,1.0
422,385,Directed,428,P87,1.0
422,386,Directed,429,P45,1.0
422,397,Directed,430,P87,1.0
422,402,Directed,431,P87,1.0
427,398,Directed,433,P2,1.0
427,405,Directed,434,P4,1.0
428,406,Directed,435,P1,1.0
429,430,Directed,436,-P71,1.0
442,443,Directed,457,-P37,1.0
442,455,Directed,476,P42,1.0
442,471,Directed,477,P42,1.0
442,472,Directed,480,P3,1.0
442,475,Directed,517,P42,1.0
442,514,Directed,519,P4,1.0
442,517,Directed,522,P4,1.0
443,466,Directed,475,-P71,1.0
448,449,Directed,452,-P71,1.0
450,451,Directed,453,-P71,1.0
452,464,Directed,467,P2,1.0
453,454,Directed,454,-P71,1.0
455,456,Directed,455,-P71,1.0
457,460,Directed,466,-P71,1.0
458,461,Directed,465,-P71,1.0
459,462,Directed,463,P2,1.0
462,463,Directed,464,-P71,1.0
464,465,Directed,468,-P71,1.0
471,468,Directed,479,-P71,1.0
475,476,Directed,485,-P71,1.0
481,482,Directed,491,-P71,1.0
501,503,Directed,503,P2,1.0
501,504,Directed,505,P4,1.0
502,507,Directed,509,P2,1.0
502,509,Directed,511,P4,1.0
503,505,Directed,507,-P71,1.0
504,506,Directed,506,P78,1.0
507,508,Directed,510,-P71,1.0
509,510,Directed,512,P78,1.0
512,511,Directed,516,P3,1.0
512,513,Directed,515,P3,1.0
514,515,Directed,521,P78,1.0
514,516,Directed,520,P78,1.0
